2022-02-16 10:50:15.099153
JIO,Name,MRP,Price,Pincode
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,388110
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,388110
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,388110
490008739,Parle-G Original Glucose Biscuits 800 g,  75.00,  67.50,388110
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,388110
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,388110
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  185.00,388110
490000041,Aashirvaad Whole Wheat Atta 10 kg,  412.00,  341.00,388110
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,388110
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,388110
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,388110
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,388110
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,388110
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,388110
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,388110
